sitarro	genius	per	pos-towards	1.7477777777777774	the genius mispelled genius.	2006-01-08T22:19:00
Meister	God	per	pos-towards	2.782222222222222	I laugh at you calling me a partisan hack....for the love of God, have you ever looked in the mirror. <img src="http://www.usmessageboard.com/images/smilies/cuckoo.gif"/>	2010-11-13T10:46:00
KissMy	who	per	neg-towards	-0.9588888888888887	So who gives a shit what the ones who favor it say because they have no clue.	2010-11-13T10:37:00
KissMy	US	per	neg-towards	-1.581111111111111	The entire US Constitution &amp; The Bill of Rights together did not take 10 pages yet have served us well.	2010-11-13T10:37:00
KissMy	company	org	neg-towards	-1.5188888888888887	My Aunt now needs hernia surgery &amp; has been declined by her insurance company that claims it is a pre-existing condition.	2010-11-13T10:53:00
KissMy	employer	org	neg-towards	-0.8888888888888893	Since her employer switched insurers 3 years ago &amp; she had a similar operation 5 years ago her insurer is saying it is a pre-existing condition.	2010-11-13T10:53:00
KissMy	she	per	neg-towards	-0.8888888888888893	Since her employer switched insurers 3 years ago &amp; she had a similar operation 5 years ago her insurer is saying it is a pre-existing condition.	2010-11-13T10:53:00
KissMy	her	per	neg-towards	-2.071111111111111	They know many government officials &amp; lawyers &amp; have exhausted all resources to get her hernia surgery covered.	2010-11-13T10:53:00
KissMy	who	per	pos-towards	1.0244444444444438	So who gives a shit what the ones who favor it say because they have no clue.	2010-11-13T10:37:00
KissMy	population	per	pos-towards	1.405555555555556	The ones who say it went to far are smart enough to know that a bill pack with 2000+ pages of BS not meant for voters to understand was written for the elite to take advantage of the general population.	2010-11-13T10:37:00
KissMy	Democrats &amp; Work for Government Contractors	org	pos-towards	2.525555555555556	My Mother &amp; Aunt are big-time Democrats &amp; Work for Government Contractors.	2010-11-13T10:53:00
KissMy	majority	per	pos-towards	1.5844444444444434	Once the majority discover this there will be hell to pay for Democrats.	2010-11-13T10:53:00
CrusaderFrank	people	per	pos-towards	2.782222222222222	It's Booooooosh's fault more people don't love ObamaCare	2010-11-13T11:25:00
Samson	generations	per	neg-towards	-1.666666666666667	I'm convinced the real reason for allowing illegals to cross our border is so they can produce generations to pay taxes that will fund our growing nanny-state.	2010-11-13T12:02:00
Samson	our	per	pos-towards	0.884444444444445	I'm convinced the real reason for allowing illegals to cross our border is so they can produce generations to pay taxes that will fund our growing nanny-state.	2010-11-13T12:02:00
healthMagistrat	nation	gpe	pos-towards	1.934444444444444	hopefully, the leaders of our nation sees it as we see it..	2011-03-02T21:14:00
Rat in the Hat	What National Geographic	org	neg-towards	-0.40666666666666673	National Geographic used 175 pounds of thermite against a 1/2 inch steel beam, and when the reaction stopped, it didn't even damage the beam.	2011-09-19T13:48:00
Rat in the Hat	Blevins	per	neg-towards	-0.9433333333333334	Your friend Dr. Blevins said it was metal foam, not dust.	2011-09-19T14:35:00
Rat in the Hat	Pope	per	neg-towards	-0.7800000000000002	And Dickey Gage named himself their Pope.	2011-09-21T13:50:00
Rat in the Hat	Rowe	per	neg-towards	-2.0166666666666666	Avery, Rowe, Bermas, Griffin, Blevins, Wood &amp; Chandler make up their College of cardinals.	2011-09-21T13:50:00
Rat in the Hat	Bermas	per	neg-towards	-2.0166666666666666	Avery, Rowe, Bermas, Griffin, Blevins, Wood &amp; Chandler make up their College of cardinals.	2011-09-21T13:50:00
Rat in the Hat	Blevins, Wood &amp;	org	neg-towards	-2.0166666666666666	Avery, Rowe, Bermas, Griffin, Blevins, Wood &amp; Chandler make up their College of cardinals.	2011-09-21T13:50:00
Rat in the Hat	Chandler	per	neg-towards	-2.0166666666666666	Avery, Rowe, Bermas, Griffin, Blevins, Wood &amp; Chandler make up their College of cardinals.	2011-09-21T13:50:00
Rat in the Hat	their	per	neg-towards	-1.0133333333333336	And that is why they won't test in an inert gas, because they know their "thermXte" chips won't ignite at all under those conditions.	2011-10-04T11:34:00
Rat in the Hat	NIST s Reactive Flows Group	org	neg-towards	-0.27444444444444427	By the way, NIST was tasked with doing a structural engineering analysis, not a criminal investigation, so they wouldn't be looking for explosives, thermXte, or space beams.	2011-10-04T11:34:00
Rat in the Hat	What National Geographic	org	pos-towards	1.405555555555556	National Geographic used 175 pounds of thermite against a 1/2 inch steel beam, and when the reaction stopped, it didn't even damage the beam.	2011-09-19T13:48:00
Rat in the Hat	Your	per	pos-towards	2.0199999999999996	Your friend Dr. Blevins said it was metal foam, not dust.	2011-09-19T14:35:00
Rat in the Hat	you	per	pos-towards	0.6666666666666661	Until you can prove any of these things, all you have is a religion.	2011-09-21T13:59:00
Rat in the Hat	they	per	pos-towards	1.3900000000000006	And that is why they won't test in an inert gas, because they know their "thermXte" chips won't ignite at all under those conditions.	2011-10-04T11:34:00
TakeAStepBack	engineers	per	neg-towards	-0.27444444444444427	The fact that the engineers that built the wtc buildings can not fathom how the material "vaporized" or where it went is very telling.	2011-09-20T11:44:00
TakeAStepBack	you	per	neg-towards	-2.2188888888888885	This speaks volumes of the credibility of the official story you like to insult us over for not believing.	2011-09-20T11:44:00
TakeAStepBack	Mark Basile	per	neg-towards	-2.2188888888888885	This speaks volumes of the credibility of the official story you like to insult us over for not believing.	2011-09-20T11:44:00
TakeAStepBack	You	per	neg-towards	-0.4144444444444444	You tell me why the steel wasn't accounted for.	2011-09-20T11:44:00
TakeAStepBack	your	per	neg-towards	-0.608888888888889	Don't start flailing your arms around in an attempt to dilute the facts here with your emotional card.	2011-09-20T12:11:00
TakeAStepBack	you	per	neg-towards	-0.7800000000000002	Until you can account for steel turning to dust, along with an enormous amount of the building material, and blowing off into the wind, you don't have the full story no matte rhow much you want to believe so.	2011-09-20T12:11:00
TakeAStepBack	you	per	neg-towards	0.06777777777777771	Telling me "fuck you", doesn't change that fact.	2011-09-20T12:11:00
TakeAStepBack	buildings	fac	neg-towards	-1.3788888888888886	Until we know, we don't know how those buildings collapsed, nor the full story.	2011-09-20T12:14:00
TakeAStepBack	buildings	fac	pos-towards	0.9233333333333338	The fact that the engineers that built the wtc buildings can not fathom how the material "vaporized" or where it went is very telling.	2011-09-20T11:44:00
TakeAStepBack	you	per	pos-towards	1.8488888888888884	This speaks volumes of the credibility of the official story you like to insult us over for not believing.	2011-09-20T11:44:00
TakeAStepBack	world	loc	pos-towards	0.7522222222222226	In this world, under scientific forensic evidence, especially in a crime, we MUST address WHY this anomaly happened.	2011-09-20T11:48:00
TakeAStepBack	you	per	pos-towards	-0.7800000000000002	Until you can account for steel turning to dust, along with an enormous amount of the building material, and blowing off into the wind, you don't have the full story no matte rhow much you want to believe so.	2011-09-20T12:11:00
TakeAStepBack	buildings	fac	pos-towards	1.1566666666666672	Until we know, we don't know how those buildings collapsed, nor the full story.	2011-09-20T12:14:00
TakeAStepBack	You	per	pos-towards	0.7833333333333332	You are no longer worth my time.	2011-09-20T13:15:00
eots	NIST s Reactive Flows Group	org	neg-towards	-2.6077777777777778	no, no buddies of mine made any such claim...my buddies claim that NIST failed to determine the cause of the collapse and that some form of explosives and incendiaries where used to bring down wtc 1-2 and 7	2011-09-20T10:18:00
eots	towers	fac	neg-towards	-1.3788888888888886	plane strikes do not explain the collapse of the towers and no pane hit building 7....and btw...there are no nations	2011-09-20T10:34:00
eots	building	fac	neg-towards	-1.2311111111111113	what kind of fool answers with a little emo-con...building 7 was not hit by a plane..deal with it	2011-09-20T10:49:00
eots	WTC	fac	neg-towards	-2.677777777777778	NIST SAYS FIRE CAUSED THE FAILURE OF A SINGLE COLUMN CAUSED THE COLLAPSE OF WTC 7 AND THE FAILURE OF THAT COLUMN UNDER ANY - CIRCUMSTANCE WOULD OF RESULTED IN A PROGRESSIVE COLLAPSE	2011-09-20T15:18:00
eots	building	fac	pos-towards	1.1566666666666672	what kind of fool answers with a little emo-con...building 7 was not hit by a plane..deal with it	2011-09-20T10:49:00
9/11 inside job	troll daws	per	neg-towards	-0.5388888888888888	as usual,kid troll daws gets his ass handed to him on a platter that the fires and the jets did not cause the towers to collapse. <img src="http://www.usmessageboard.com/images/smilies/lol.gif"/>	2011-09-20T09:41:00
9/11 inside job	troll daws	per	pos-towards	0.6277777777777773	as usual,kid troll daws gets his ass handed to him on a platter that the fires and the jets did not cause the towers to collapse. <img src="http://www.usmessageboard.com/images/smilies/lol.gif"/>	2011-09-20T09:41:00
9/11 inside job	daws101	per	pos-towards	1.4833333333333334	1st IT'S NOT MOST AMERICANS: New National Poll: 36% of Americans Believe 9/11 Was an Inside Job	2011-10-03T13:42:00
9/11 inside job	you	per	pos-towards	1.8488888888888884	oh and bld 7 and the witness testimony of barry jennings who was in that building is the crux of the 9/11 coverup commission that you cant get around.you can only sling shit in defeat like you did in this post. <img src="http://www.usmessageboard.com/images/smilies/lol.gif"/>	2011-10-08T13:50:00
RetiredGySgt	building	fac	neg-towards	-0.5	Yet the truthers want you to believe somehow through all the fire and broken building, somehow, precision laying of demolitions was not effected.	2011-09-20T14:59:00
RetiredGySgt	one	per	neg-towards	-0.9588888888888887	That somehow no one saw these demolitions at any time prior to the claim they existed.	2011-09-20T14:59:00
RetiredGySgt	ordnance	wea	neg-towards	-1.83	It takes months of planning and days of construction and prepping to lay precision ordnance in a skyscraper to bring it down.	2011-09-20T14:59:00
RetiredGySgt	skyscraper	fac	neg-towards	-1.83	It takes months of planning and days of construction and prepping to lay precision ordnance in a skyscraper to bring it down.	2011-09-20T14:59:00
RetiredGySgt	occupant	per	neg-towards	-0.18888888888888822	Some how all that wiring and construction was never seen in building 7 by a single occupant prior to 9/11.	2011-09-20T14:59:00
RetiredGySgt	part	fac	neg-towards	-1.3788888888888886	Somehow all that wiring and precision laying of demolitions survived 8 hours of fire and the collapse of part of the building due to debris from the Twin Towers.	2011-09-20T14:59:00
RetiredGySgt	aircraft	veh	neg-towards	-1.6277777777777782	Damage consist with an aircraft striking the building.	2011-09-20T14:59:00
RetiredGySgt	World Trade Centre Building	fac	neg-towards	-1.6199999999999997	Damage consist with an aircraft striking the building.	2011-09-20T14:59:00
RetiredGySgt	missile	wea	neg-towards	-1.4644444444444442	The aircraft hit a reinforced wall, a missile with explosives would have detonated at the wall and the explosion pattern would not look anything like the damage we know happened.	2011-09-20T14:59:00
RetiredGySgt	explosives	wea	neg-towards	-1.7833333333333332	The aircraft hit a reinforced wall, a missile with explosives would have detonated at the wall and the explosion pattern would not look anything like the damage we know happened.	2011-09-20T14:59:00
RetiredGySgt	World Trade Centre Building	fac	neg-towards	-0.21999999999999975	For the slow and stupid, it requires months of planning and weeks of construction to wire a building for demolition of the type we are talking about.	2011-09-20T22:20:00
RetiredGySgt	plane	veh	neg-towards	-2.203333333333333	You keep claiming no plane crashed in Pennsylvania.	2011-09-20T22:20:00
RetiredGySgt	Pennsylvania	gpe	neg-towards	-2.203333333333333	You keep claiming no plane crashed in Pennsylvania.	2011-09-20T22:20:00
RetiredGySgt	you	per	pos-towards	1.4833333333333334	Yet the truthers want you to believe somehow through all the fire and broken building, somehow, precision laying of demolitions was not effected.	2011-09-20T14:59:00
RetiredGySgt	Twin Towers	loc	pos-towards	1.3666666666666671	Somehow all that wiring and precision laying of demolitions survived 8 hours of fire and the collapse of part of the building due to debris from the Twin Towers.	2011-09-20T14:59:00
RetiredGySgt	explosives	wea	pos-towards	0.8066666666666666	There is ZERO evidence that explosives were laid in any of the buildings.	2011-09-20T22:20:00
RetiredGySgt	Mark Basile	per	pos-towards	1.4833333333333334	Tell us what YOU believe happened on 9/11 at all the sites.	2011-09-21T05:23:00
RetiredGySgt	YOU	per	pos-towards	1.4833333333333334	Tell us what YOU believe happened on 9/11 at all the sites.	2011-09-21T05:23:00
pinqy	planes	veh	neg-towards	-2.203333333333333	It makes no rational sense to both crash the planes and use demolitions...it serves no purpose.	2011-09-20T11:39:00
Liability	buildings	fac	neg-towards	-0.21999999999999975	Nobody had to come in to wire the buildings or to plant the thermite or super thermite.	2011-09-20T13:28:00
Liability	World Trade Towers	fac	neg-towards	-0.367777777777778	It had been PRE-planted long ago INSIDE the hollow beams of the World Trade Towers.	2011-09-20T13:28:00
Liability	them	per	neg-towards	-0.6633333333333331	Another of "them :" Jesus H.	2011-09-20T13:28:00
Liability	friend	per	neg-towards	-0.2822222222222224	Another of "them :" My friend here has noted that it will be a bear to take these towers down when that time comes.	2011-09-20T13:28:00
Liability	YOUR	per	neg-towards	-1.1455555555555552	Whether or not the 9/11 Commission in conjunction with NIST got everything right is not a valid basis upon which to hang YOUR ridiculous contentions, you moron.	2011-10-02T10:18:00
Liability	you	per	neg-towards	-1.0677777777777777	Whether or not the 9/11 Commission in conjunction with NIST got everything right is not a valid basis upon which to hang YOUR ridiculous contentions, you moron.	2011-10-02T10:18:00
Liability	NIST s Reactive Flows Group	org	neg-towards	-1.7755555555555556	NIST can be mistaken or even flatly wrong in some things, but that still doesn't mean that your whacked-out, baseless conspiracy theories have any substance or legitimacy.	2011-10-02T10:18:00
Liability	your	per	pos-towards	1.032222222222222	Talk about your planned obsolescence!	2011-09-20T13:28:00
Liability	Manhattan Real Estate	org	pos-towards	1.2655555555555544	As hard and expensive as it is gonna be to put these things UP here in the middle of the South Side of the tip of this Manhattan Real Estate, it's gonna be a BEAR to take them down when the time comes.	2011-09-20T13:28:00
Liability	You	per	pos-towards	1.0166666666666666	You're right.	2011-09-20T13:28:00
Liability	architects	per	pos-towards	0.137777777777778	Have the architects prepare detailed and highly secret plans!	2011-09-20T13:28:00
Liability	Architects	per	pos-towards	0.9699999999999998	We must be able to implode these bad boys on a moment's notice, so direct the Architects to include the materials for demolition NOW!	2011-09-20T13:28:00
Liability	Mark Basile	per	pos-towards	0.8922222222222222	Super Thermite Thanks go out to id-eots for revealing the Twoof to us!	2011-09-20T13:28:00
Liability	Steven Jones	per	pos-towards	1.6933333333333334	Jones imagines that house paint is not flammable and that when ignited it cannot explode. <img src="http://www.usmessageboard.com/images/smilies/cuckoo.gif"/>	2011-10-05T09:54:00
Swagger	you	per	neg-towards	-1.3166666666666664	Liability, you're a sarcastic beacon of sense.	2011-09-20T13:41:00
Swagger	you	per	neg-towards	-1.4333333333333336	I'm a registered construction and demolition contractor (if any of you suspect that's a falsehood to strengthen my position, I've declared my profession here long before the OP was submitted), and to to implode a building you have to considerably weaken the building's superstructure.	2011-09-20T13:41:00
Swagger	you	per	neg-towards	-0.7877777777777775	After you've removed all the second fix and partition walls (what is known in demolition as the soft strip or gut-out), you have to use demolition plant to safely undermine the concrete frame, not to mention diamond drill the bore holes for the explosive charges.	2011-09-20T13:41:00
Swagger	plant	fac	neg-towards	-1.6277777777777782	After you've removed all the second fix and partition walls (what is known in demolition as the soft strip or gut-out), you have to use demolition plant to safely undermine the concrete frame, not to mention diamond drill the bore holes for the explosive charges.	2011-09-20T13:41:00
Swagger	employees	per	neg-towards	-0.3366666666666669	None of this could be achieved under the noses of any otherwise unsuspecting employees within the building.	2011-09-20T13:41:00
Swagger	World Trade Centre Building	fac	neg-towards	-0.927777777777778	None of this could be achieved under the noses of any otherwise unsuspecting employees within the building.	2011-09-20T13:41:00
Swagger	those	per	neg-towards	-0.7722222222222221	I agree that on first glance the way the buildng fell looks like explosive charges were used in its demise, but to achieve that you'd have to do the impossible by containing the secrecy of those complicit in such an outrage.	2011-09-20T13:41:00
Swagger	you	per	pos-towards	-0.7877777777777775	After you've removed all the second fix and partition walls (what is known in demolition as the soft strip or gut-out), you have to use demolition plant to safely undermine the concrete frame, not to mention diamond drill the bore holes for the explosive charges.	2011-09-20T13:41:00
Swagger	Everyone	per	pos-towards	1.3355555555555556	Everyone within several blocks would be aware that the building was undergoing major work.	2011-09-20T13:41:00
Mr. Jones	daws101	per	neg-towards	-0.8888888888888893	From what I've seen of thermite, it needs longer than microseconds to work on thick steel.) Jones' torch on the thermite proves it needs other means of setting it off but it doesn't prove a thing for whatever is supposed to set it off.	2011-09-19T13:28:00
Mr. Jones	World Trade Center	fac	neg-towards	-0.9666666666666668	The WTC towers had undergone extensive work and renovations providing assess.	2011-09-21T13:48:00
Mr. Jones	people	per	neg-towards	-0.8033333333333328	There have been many conspiracies that have remained secret for long periods of time, like the Manhattan Project, 130,000 people and a cost of 2 billion.	2011-09-21T13:48:00
Mr. Jones	NIST s Reactive Flows Group	org	neg-towards	-0.27444444444444427	That part of the explanation that NIST was tasked with, has NOT been explained.	2011-09-21T13:48:00
Mr. Jones	towers	fac	neg-towards	-0.5855555555555556	They just say assume that the falling mass pulverizing the lower parts of the towers, was to be expected, physics and science and the law of conservation of momentum be damned.	2011-09-21T13:48:00
Mr. Jones	one	per	neg-towards	-0.22777777777777786	To say this doesn't matter because no one has confessed is an absurdity.	2011-09-21T13:48:00
Mr. Jones	you	per	neg-towards	-0.2822222222222224	Nice dodge, proving once again that you can't counter the claims of just how absurd the shit you believe really is.	2011-09-21T14:07:00
Mr. Jones	you	per	neg-towards	-0.8422222222222224	Low temp kerosene fires causing the total global collapse, while accelerating causing the mass to come down in 10-12 seconds, not once not twice...but 3 times in one day...And you actually believe this absurdity... <img src="http://www.usmessageboard.com/images/smilies/cuckoo.gif"/>	2011-09-24T14:22:00
Mr. Jones	Twin Towers	loc	neg-towards	-1.5422222222222217	It is not possible that such a material was formed as a by-product of the destruction of the Twin Towers.	2011-09-28T15:05:00
Mr. Jones	authors	per	neg-towards	-0.9744444444444449	Although the authors do not address the broader issue of the 9/11 attacks, their findings have a direct bearing on the likely causes of the collapse of the WTC buildings on September 11, 2001.	2011-09-30T16:04:00
Mr. Jones	buildings	fac	neg-towards	-1.3788888888888886	Although the authors do not address the broader issue of the 9/11 attacks, their findings have a direct bearing on the likely causes of the collapse of the WTC buildings on September 11, 2001.	2011-09-30T16:04:00
Mr. Jones	troll daws	per	neg-towards	-1.5422222222222217	You're an idiot.	2011-09-30T16:28:00
Mr. Jones	buildings	fac	neg-towards	-1.5422222222222217	The technology was available to use nanothermite as a means to facilitate the destruction of the WTC complex buildings, and it is highly unlikely that terrorists did it alone, or at all.	2011-09-30T16:28:00
Mr. Jones	terrorists	per	neg-towards	-2.1255555555555556	The technology was available to use nanothermite as a means to facilitate the destruction of the WTC complex buildings, and it is highly unlikely that terrorists did it alone, or at all.	2011-09-30T16:28:00
Mr. Jones	John Moffett	per	neg-towards	-0.16555555555555612	Mofett's not a physicist, plus at the end of the article he even admits that the official 9/11 story isn't credible.	2011-09-30T18:04:00
Mr. Jones	They	per	neg-towards	-2.1177777777777775	They are high tech with nanosized particles,only a handful of labs on the planet can make this stuff, so it wasn't just some anomalous finding.	2011-09-30T18:04:00
Mr. Jones	buildings	fac	neg-towards	-1.5422222222222217	Proof, facts and scientific studies accompanied by peer reviewed papers are evidence that the 9-11 destruction of the WTC buildings were not, and could not have been fully attributed to fire and gravity alone.	2011-09-30T18:21:00
Mr. Jones	troll daws	per	neg-towards	-1.5422222222222217	You would have to be an idiot to not realize this by now...of course the only way to keep your mind from suffering the cognitive dissonance you are afraid of experiencing is to continue to ignore the obvious.	2011-09-30T18:21:00
Mr. Jones	you	per	neg-towards	-2.4444444444444446	You would have to be an idiot to not realize this by now...of course the only way to keep your mind from suffering the cognitive dissonance you are afraid of experiencing is to continue to ignore the obvious.	2011-09-30T18:21:00
