Avatar4321	Anthony Weiner	per	pos-towards	1.1177777777777784	And Weiner highlighted why he should go into early retirement.	2010-08-12T10:07:00
boedicca	Rep Anthony Weiner	per	neg-towards	-2.203333333333333	Ergo, he is three times The Stupid of Pain.	2011-05-30T19:01:00
boedicca	authorities	per	neg-towards	-1.7522222222222221	Apparently, if one's facebook-twitter-yfrog account trifecta are hacked, the appropriate response is to hire a lawyer as opposed to reporting the crime to the proper authorities.	2011-05-31T11:41:00
boedicca	Dave Arnold	per	neg-towards	-0.27444444444444427	“We've retained counsel to explore the proper next steps and to advise us on what civil or criminal actions should be taken,” Weiner spokesman Dave Arnold said in an email. “This was a prank.	2011-05-31T11:41:00
boedicca	Sarah Palin	per	neg-towards	-1.8455555555555558	Weiner deleted the tweet with the link to the photo four minutes after it went out on his public twitter feeds, and claimed he was hacked, blaming the lewd photo on the hacker.	2011-05-31T11:54:00
boedicca	you	per	neg-towards	-1.3866666666666667	If you see errors or items that need clarification, hit me up in comments or email and Ill correct or clarifiy anything that needs it.	2011-05-31T11:54:00
boedicca	Clarence Thomas	per	neg-towards	-1.8999999999999995	Anthony Weiner (D-NY) was very active on twitter on Friday, awaiting a financial disclosure from Supreme Court Justice Clarence Thomas, a disclosure that Weiner intended to turn into a political attack on Thomas.	2011-05-31T11:54:00
boedicca	you	per	neg-towards	-0.2511111111111113	05/13/2011 00:00 @maggiehenning, a school girl, tweets "@RepWeiner you used to follow me <img src="http://www.usmessageboard.com/images/smilies/cry.gif"/> don't forget me!!!"	2011-05-31T12:10:00
boedicca	Followers	per	neg-towards	-0.2900000000000005	05/27/2011 21:10 @RepWeiner tweets "Followers of my lame hockey tweets recall i picked tb and nashville. #NotSoBrilliant"	2011-05-31T12:10:00
boedicca	They	per	neg-towards	-1.721111111111111	They have laid waste to online evidence linking them.	2011-05-31T12:10:00
boedicca	They	per	neg-towards	-0.14999999999999947	They have seemingly reviewed every web cache and social network attempting to delete stories, photos, names and any other possible references to their relationship.	2011-05-31T12:10:00
boedicca	Media	org	neg-towards	-0.14999999999999947	They have seemingly reviewed every web cache and social network attempting to delete stories, photos, names and any other possible references to their relationship.	2011-05-31T12:10:00
boedicca	Iowahawk	per	neg-towards	-0.5	Help Iowahawk bring the Weiner Hacker to Justice!	2011-05-31T12:50:00
boedicca	Weiner Hacker	per	neg-towards	-0.5	Help Me Bring the Weiner Hacker to Justice	2011-05-31T12:50:00
boedicca	Rep Anthony Weiner	per	neg-towards	-0.4299999999999997	Within seconds, Congressman Weiner arrived at the scene of the cybercrime and instantly recognized it as the work of a hacker who had simultaneously broken into his Twitter, Facebook and y.frog accounts.	2011-05-31T12:50:00
boedicca	Twitter	per	neg-towards	-0.4299999999999997	Within seconds, Congressman Weiner arrived at the scene of the cybercrime and instantly recognized it as the work of a hacker who had simultaneously broken into his Twitter, Facebook and y.frog accounts.	2011-05-31T12:50:00
boedicca	Enemy	per	neg-towards	-2.187777777777778	That it why I am announcing the Weiner Hacker Prize Fund to award a generous bounty for information leading to the arrest, prosecution and conviction of Pubic Enemy #1 - the pervert who stole Congressman Weiner's underpants identity.	2011-05-31T12:50:00
boedicca	Rep Anthony Weiner	per	neg-towards	-1.5266666666666668	That it why I am announcing the Weiner Hacker Prize Fund to award a generous bounty for information leading to the arrest, prosecution and conviction of Pubic Enemy #1 - the pervert who stole Congressman Weiner's underpants identity.	2011-05-31T12:50:00
boedicca	streets	fac	neg-towards	-1.721111111111111	So let's get involved and work to get this mysterious criminal off our online streets.	2011-05-31T12:50:00
boedicca	Gennette Noble	per	neg-towards	-0.2511111111111113	Hey, honey  I know that my Twitter account sent a photo of what may look like my hairless legs and possibly my junk to one of the woman who I follow on Twitter.	2011-05-31T13:37:00
boedicca	Twitter	per	neg-towards	-0.2511111111111113	Hey, honey  I know that my Twitter account sent a photo of what may look like my hairless legs and possibly my junk to one of the woman who I follow on Twitter.	2011-05-31T13:37:00
boedicca	people	per	neg-towards	-0.2511111111111113	And right, I follow less than 100 people.	2011-05-31T13:37:00
boedicca	somebody	per	neg-towards	-0.32888888888888923	Hmmmmm...this is not the behavior of somebody who is a victim of a hack attack.	2011-05-31T14:29:00
boedicca	who	per	neg-towards	-2.3044444444444445	Hmmmmm...this is not the behavior of somebody who is a victim of a hack attack.	2011-05-31T14:29:00
boedicca	Rep Anthony Weiner	per	neg-towards	-1.83	He's just the Wurst Little Pervert EVAH.	2011-05-31T14:38:00
boedicca	Twitter	per	neg-towards	-1.8455555555555558	It's odd that he blamed Facebook (which is easily hacked/spammed), but Twitter has not had this problem.	2011-05-31T16:05:00
boedicca	Twitter	per	neg-towards	-0.7800000000000002	It's odd that he blamed Facebook (which is easily hacked/spammed), but Twitter has not had this problem.	2011-05-31T16:05:00
boedicca	Rep Anthony Weiner	per	neg-towards	-2.1644444444444444	Decent Morality and Ethics are things we shouldn't respect from Weiner, or from any other New York representative.	2011-05-31T16:20:00
boedicca	who	per	neg-towards	-2.5144444444444445	Morality: if one is a government official and one has evidence which would clear up the reputation of a private citizen who has been harmed by gossip due to one's public role, Decent Morality would require one to provide the evidence so as to protect the reputation of the innocent private citizen.	2011-05-31T16:27:00
boedicca	VLWC	org	neg-towards	-1.9544444444444444	VLWC also neglects the Obvious Reality that Weiner serves in the U.S.	2011-05-31T16:41:00
boedicca	jail	fac	neg-towards	-0.5	The Palin hacker went to jail.	2011-05-31T17:03:00
boedicca	VLWC	org	neg-towards	-1.503333333333333	And VLWC confirms his lack of understanding of Decent Morals and Ethics.	2011-05-31T17:09:00
boedicca	Dave Arnold	per	neg-towards	-1.7522222222222221	And yet he so far has not reported the crime to the police, and he actively destroyed evidence.	2011-05-31T17:26:00
boedicca	police	org	neg-towards	-1.7522222222222221	And yet he so far has not reported the crime to the police, and he actively destroyed evidence.	2011-05-31T17:26:00
boedicca	you	per	neg-towards	-2.6077777777777778	And you fail the test, bub.	2011-05-31T17:36:00
boedicca	He	per	neg-towards	-0.2511111111111113	He took an oath of office, the generic form of which is:	2011-05-31T17:40:00
boedicca	he	per	neg-towards	-1.503333333333333	And by lawyering up, he allows the controversy to engulf the young woman who was the target of the Tweets.	2011-05-31T17:43:00
boedicca	woman	per	neg-towards	-0.313333333333333	And by lawyering up, he allows the controversy to engulf the young woman who was the target of the Tweets.	2011-05-31T17:43:00
boedicca	official	per	neg-towards	-1.7522222222222221	The crime was against a government official, which affects us all.	2011-05-31T17:47:00
boedicca	Claims “Facebook Hacked	per	neg-towards	-3.0277777777777777	The victim whose life was disrupted by having to suicide her Facebook and Twitter accounts deserves to have this investigated as well.	2011-05-31T17:47:00
boedicca	Mahatma Gandhi	per	neg-towards	-0.2511111111111113	He also ate very little, which made him rather frail and with his odd diet (including URINE DRINKING), he suffered from bad breath.	2011-05-31T17:50:00
boedicca	mystic	per	neg-towards	-2.078888888888889	a super-calloused fragile mystic hexed by halitosis.	2011-05-31T17:50:00
boedicca	you	per	neg-towards	-1.83	So, you lied the first time about being out of this thread.	2011-05-31T18:00:00
boedicca	Rep Anthony Weiner	per	neg-towards	-2.008888888888889	Ooooooooooo, that's bad for Weiner.	2011-05-31T18:19:00
boedicca	Bitter Pillian	per	neg-towards	-1.7755555555555556	And here is Bitter Pillian's knee jerk and obligatory meaningless post.	2011-05-31T18:20:00
boedicca	community	per	neg-towards	-0.865555555555555	It will be a shock to the USMB community if she ever posts something worthwhile.	2011-05-31T18:20:00
boedicca	He	per	neg-towards	-1.9466666666666668	He destroyed evidence and has not reported the hack attack to the police.	2011-05-31T18:39:00
boedicca	police	org	neg-towards	-1.8999999999999995	He destroyed evidence and has not reported the hack attack to the police.	2011-05-31T18:39:00
boedicca	she	per	neg-towards	-1.7055555555555557	The look on his face, the look on his wife's face, and the body language show that she doesn't believe him.	2011-05-31T18:40:00
boedicca	him	per	neg-towards	-1.7055555555555557	The look on his face, the look on his wife's face, and the body language show that she doesn't believe him.	2011-05-31T18:40:00
boedicca	Rep Anthony Weiner	per	pos-towards	0.8066666666666666	Weiner may have sent a naughty pic to a woman on Twitter.	2011-05-28T10:41:00
boedicca	Twitter	per	pos-towards	1.1644444444444444	Weiner may have sent a naughty pic to a woman on Twitter.	2011-05-28T10:41:00
boedicca	woman	per	pos-towards	1.2655555555555544	The photo was reportedly sent to a woman on Twitter.	2011-05-28T10:41:00
boedicca	Twitter	per	pos-towards	1.1644444444444444	The photo was reportedly sent to a woman on Twitter.	2011-05-28T10:41:00
boedicca	Twitter	per	pos-towards	1.8488888888888884	This kind of stuff makes me *almost* like Twitter.	2011-05-28T11:03:00
boedicca	Anthony Weiner Tweet-Taunts Clarence Thomas	per	pos-towards	1.405555555555556	I'm not the one swallowing his cocktail weenie.	2011-05-28T14:18:00
boedicca	You	per	pos-towards	2.0122222222222224	You response is a complete non sequitur, hardly surprising.	2011-05-28T14:50:00
boedicca	Rep Anthony Weiner	per	pos-towards	2.2222222222222214	He is a man of some national prominence, a liberal who is not afraid of taking on conservatives directly.	2011-05-29T11:01:00
boedicca	office	fac	pos-towards	0.8066666666666666	The phone message at his national office is personable and friendly.	2011-05-29T11:01:00
boedicca	Rep Anthony Weiner	per	pos-towards	0.7366666666666664	He is a regular guest on Morning Joe and is not shy about appearing anywhere.	2011-05-29T11:01:00
boedicca	Morning Joe	org	pos-towards	0.7366666666666664	He is a regular guest on Morning Joe and is not shy about appearing anywhere.	2011-05-29T11:01:00
boedicca	Gennette Noble	per	pos-towards	1.568888888888889	Until 48 hours ago one of those people was Gennette Noble the young lady who is at the center of this interesting event.	2011-05-29T11:01:00
boedicca	Whatcom Community College	org	pos-towards	1.568888888888889	Gennette Noble is a 21-year-old college student in Seattle Washington.	2011-05-29T11:01:00
boedicca	Washington State	gpe	pos-towards	1.568888888888889	Gennette Noble is a 21-year-old college student in Seattle Washington.	2011-05-29T11:01:00
boedicca	someone	per	pos-towards	-0.2511111111111113	This shows someone is taking great pains to remove her from the net.	2011-05-29T11:01:00
boedicca	Followers	per	pos-towards	0.5966666666666676	Followers of my lame hockey tweets recall i picked tb and nashville. #NotSoBrilliant	2011-05-29T11:21:00
boedicca	MSNBC	org	pos-towards	0.7755555555555551	For whatever reason, the Congressman added the hashtag #Thats545InSeattleIThink to a Tweet announcing the time of an upcoming appearance on MSNBC.	2011-05-29T11:21:00
boedicca	Seattle	gpe	pos-towards	1.1644444444444444	Reportedly, the young woman the lewd photograph was sent to lives in  Seattle.	2011-05-29T11:21:00
boedicca	Wu	per	pos-towards	0.6433333333333335	At least Wu is fully clothed.	2011-05-29T11:42:00
boedicca	Hillary Clinton	per	pos-towards	0.7366666666666664	Clinton did in fact get a blow job - although he was accused of LYING UNDER OATH.	2011-05-29T12:22:00
boedicca	Rep Anthony Weiner	per	pos-towards	0.7522222222222226	And tellingly, he's the Elder Statesman now.	2011-05-29T14:49:00
boedicca	Foxfyre	per	pos-towards	0.8066666666666666	The circumstantial evidence Boedicca laid out there makes it all look pretty bad.	2011-05-29T17:51:00
boedicca	Rep Anthony Weiner	per	pos-towards	0.6666666666666661	A photo of a man's bulging gray boxer-brief underwear was posted to Weiner's account with yfrog — an online image-sharing site — on Saturday night, according to biggovernment.com, which is run by Andrew Breitbart.	2011-05-30T09:52:00
boedicca	Rep Anthony Weiner	per	pos-towards	0.6666666666666661	“The weiner gags never get old, I guess, ” the veteran lawmaker emailed a POLITICO reporter in response on Saturday. …	2011-05-30T09:52:00
boedicca	Gennette Nicole Cordova	per	pos-towards	0.6666666666666661	“The weiner gags never get old, I guess, ” the veteran lawmaker emailed a POLITICO reporter in response on Saturday. …	2011-05-30T09:52:00
boedicca	authorities	per	pos-towards	0.7988888888888894	Weiner's office — generally one of the most press friendly around — did not respond to a request for comment on whether he has contacted federal authorities to report the alleged cyber-attack, which could fall under laws prohibiting cyberhacking and impersonating federal officials.[/i]	2011-05-30T09:52:00
boedicca	Anthony Weiner Tweet-Taunts Clarence Thomas	per	pos-towards	1.4444444444444446	Anthony Weiner, New York Democrat, told The Daily Caller the congressman's team has “retained counsel” and is exploring the “proper next steps” after his official Twitter account posted a picture of a man's erect penis underneath gray boxer shorts.	2011-05-31T11:41:00
boedicca	The Daily Caller	org	pos-towards	1.4444444444444446	Anthony Weiner, New York Democrat, told The Daily Caller the congressman's team has “retained counsel” and is exploring the “proper next steps” after his official Twitter account posted a picture of a man's erect penis underneath gray boxer shorts.	2011-05-31T11:41:00
boedicca	counsel	per	pos-towards	1.778888888888888	Anthony Weiner, New York Democrat, told The Daily Caller the congressman's team has “retained counsel” and is exploring the “proper next steps” after his official Twitter account posted a picture of a man's erect penis underneath gray boxer shorts.	2011-05-31T11:41:00
boedicca	Rep Anthony Weiner	per	pos-towards	0.8688888888888879	Anthony Weiner, New York Democrat, told The Daily Caller the congressman's team has “retained counsel” and is exploring the “proper next steps” after his official Twitter account posted a picture of a man's erect penis underneath gray boxer shorts.	2011-05-31T11:41:00
boedicca	counsel	per	pos-towards	1.4444444444444446	“We've retained counsel to explore the proper next steps and to advise us on what civil or criminal actions should be taken,” Weiner spokesman Dave Arnold said in an email. “This was a prank.	2011-05-31T11:41:00
boedicca	readers	per	pos-towards	0.7133333333333329	For MSM types who wish to start covering Weinergate accurately, or for readers just catching up, heres a quick primer on the undisputed Weinergate facts.	2011-05-31T11:54:00
boedicca	Gennette Nicole Cordova	per	pos-towards	1.405555555555556	Anthony Weiners twitter feed sent 21-year-old college student Gennette Nicole Cordova, a Seattle resident, a tweet containing a link to a lewd photo of a man in his briefs.	2011-05-31T11:54:00
boedicca	Rep Anthony Weiner	per	pos-towards	1.2655555555555544	Anthony Weiners twitter feed sent 21-year-old college student Gennette Nicole Cordova, a Seattle resident, a tweet containing a link to a lewd photo of a man in his briefs.	2011-05-31T11:54:00
boedicca	users	per	pos-towards	0.8066666666666666	This two-way following relationship allows twitter users to send messages directly to one another without such messages going on either users public twitter feeds.	2011-05-31T11:54:00
boedicca	Rep Anthony Weiner	per	pos-towards	1.405555555555556	Weiner deleted the tweet with the link to the photo four minutes after it went out on his public twitter feeds, and claimed he was hacked, blaming the lewd photo on the hacker.	2011-05-31T11:54:00
boedicca	Sarah Palin	per	pos-towards	1.2655555555555544	Weiner deleted the tweet with the link to the photo four minutes after it went out on his public twitter feeds, and claimed he was hacked, blaming the lewd photo on the hacker.	2011-05-31T11:54:00
boedicca	Anthony Weiner Tweet-Taunts Clarence Thomas	per	pos-towards	1.032222222222222	Anthony Weiner (D-NY) was very active on twitter on Friday, awaiting a financial disclosure from Supreme Court Justice Clarence Thomas, a disclosure that Weiner intended to turn into a political attack on Thomas.	2011-05-31T11:54:00
boedicca	Supreme court	org	pos-towards	2.051111111111111	Anthony Weiner (D-NY) was very active on twitter on Friday, awaiting a financial disclosure from Supreme Court Justice Clarence Thomas, a disclosure that Weiner intended to turn into a political attack on Thomas.	2011-05-31T11:54:00
boedicca	Clarence Thomas	per	pos-towards	0.49555555555555575	Weiners twitter feed goes silent for about 3 hours, 24 minutes Friday afternoon/evening, a time during which he is allegedly watching a hockey game. (Weiners spokesman later claimed that he had been tweeting about the hockey game during that time, a claim that has turned out to be false.)..	2011-05-31T11:54:00
boedicca	Sarah Palin	per	pos-towards	1.5533333333333337	03/13/2011 00:00 @GingerLee (porn star) boasts that she received a direct message from Weiner	2011-05-31T12:10:00
boedicca	Rep Anthony Weiner	per	pos-towards	0.8066666666666666	03/13/2011 00:00 @GingerLee (porn star) boasts that she received a direct message from Weiner	2011-05-31T12:10:00
boedicca	Followers	per	pos-towards	0.5966666666666676	05/27/2011 21:10 @RepWeiner tweets "Followers of my lame hockey tweets recall i picked tb and nashville. #NotSoBrilliant"	2011-05-31T12:10:00
boedicca	Rep Anthony Weiner	per	pos-towards	1.2655555555555544	05/28/2011 14:00 Congressman Weiner's yfrog photo albums are completely deleted along with suspicious tweets	2011-05-31T12:10:00
boedicca	They	per	pos-towards	0.8066666666666666	They have laid waste to online evidence linking them.	2011-05-31T12:10:00
boedicca	someone	per	pos-towards	1.2655555555555544	And, somehow, the "hacker" -- in the midst of a series of tweets by Weiner -- was able to compromise both his Twitter and YFrog accounts, post a photo of someone who resembles Weiner, and then have control of the accounts wrestled back by the Congressman in a matter of a couple of minutes.	2011-05-31T12:10:00
boedicca	Weiner Hacker	per	pos-towards	1.405555555555556	Help Me Bring the Weiner Hacker to Justice	2011-05-31T12:50:00
boedicca	male	per	pos-towards	1.2655555555555544	The Weinergate facts, as we so far know them: on May 28, @RepWeiner, the verified Twitter account of US Congressman Anthony Weiner (D-NY), posted a tweet of a y.frog photo of a slightly-built white male straining to pitch a pup tent in a pair of grey Hanes Underoos.	2011-05-31T12:50:00
boedicca	Hanes Underoos	per	pos-towards	0.6277777777777773	The Weinergate facts, as we so far know them: on May 28, @RepWeiner, the verified Twitter account of US Congressman Anthony Weiner (D-NY), posted a tweet of a y.frog photo of a slightly-built white male straining to pitch a pup tent in a pair of grey Hanes Underoos.	2011-05-31T12:50:00
boedicca	Rep Anthony Weiner	per	pos-towards	0.9855555555555551	Within seconds, Congressman Weiner arrived at the scene of the cybercrime and instantly recognized it as the work of a hacker who had simultaneously broken into his Twitter, Facebook and y.frog accounts.	2011-05-31T12:50:00
boedicca	Rep Anthony Weiner	per	pos-towards	0.028888888888888076	Working quickly, and without regard to his own safety, Congressman Weiner used his elite law school-honed internet security coding skills to wrest back control of his accounts, delete the offending tweet and photo, as well as unfollow a Seattle coed to whom it was sent.	2011-05-31T12:50:00
boedicca	Congressmen	per	pos-towards	1.887777777777778	His Twitter perimeter once again secured, the intrepid Congressmen sent out a new tweet explaining how he was victimized by an Internet criminal mastermind.	2011-05-31T12:50:00
boedicca	Rep Anthony Weiner	per	pos-towards	1.1099999999999994	That it why I am announcing the Weiner Hacker Prize Fund to award a generous bounty for information leading to the arrest, prosecution and conviction of Pubic Enemy #1 - the pervert who stole Congressman Weiner's underpants identity.	2011-05-31T12:50:00
boedicca	Jim Treacher	per	pos-towards	1.8488888888888884	Let's leave the detective work to hardboiled gumshoes like Jim Treacher and Ace of Spades.	2011-05-31T12:50:00
boedicca	people	per	pos-towards	1.0166666666666666	And right, I follow less than 100 people.	2011-05-31T13:37:00
boedicca	her	per	pos-towards	2.0199999999999996	And yes, this woman who referred to me online as her boyfriend and her friend said she has a crush on me  and okay, she lives in Seattle and retweeted me saying what time in Seattle Id be on the Rachael Maddow show.	2011-05-31T13:37:00
boedicca	her	per	pos-towards	1.2655555555555544	And yes, within 3 hours of me supposedly sending her the photo of my alleged junk I erased all my pictures from my YFrog account and sure, she deleted her Twitter and Facebook accounts.	2011-05-31T13:37:00
boedicca	office	fac	pos-towards	0.9466666666666663	Anthony Weiner refused to answer questions outside his Capitol Hill office about how a photo of an erect penis covered by boxer briefs ended up on his Twitter account over the weekend.	2011-05-31T14:29:00
boedicca	reporters	per	pos-towards	0.6666666666666661	In a brief gaggle with reporters Tuesday, Weiner was asked directly if the photo was of him, but he refused to say.	2011-05-31T14:29:00
boedicca	Anthony Weiner Tweet-Taunts Clarence Thomas	per	pos-towards	1.2655555555555544	In a brief gaggle with reporters Tuesday, Weiner was asked directly if the photo was of him, but he refused to say.	2011-05-31T14:29:00
boedicca	Rep Anthony Weiner	per	pos-towards	0.9466666666666663	Weiner, wearing a coat but no tie, gave a variation of the same answer to multiple questions, including why he hired a lawyer and hasnt asked law enforcement to investigate his allegations of fraudulent access to his account.	2011-05-31T14:29:00
boedicca	Republican	org	pos-towards	1.1566666666666672	If Weiner were a Republican, this would be a huge story all over the MSM.	2011-05-31T14:31:00
boedicca	Media	org	pos-towards	1.1566666666666672	If Weiner were a Republican, this would be a huge story all over the MSM.	2011-05-31T14:31:00
boedicca	Rep Anthony Weiner	per	pos-towards	0.7055555555555548	We need to hold him to the same standards.	2011-05-31T14:31:00
boedicca	Rep Anthony Weiner	per	pos-towards	0.5966666666666676	He's just the Wurst Little Pervert EVAH.	2011-05-31T14:38:00
boedicca	Rep Anthony Weiner	per	pos-towards	1.094444444444444	If I were an exec at Twitter, I'd make sure to address the negative PR that Weiner is promoting - i.e.	2011-05-31T16:05:00
boedicca	official	per	pos-towards	1.040000000000001	Morality: if one is a government official and one has evidence which would clear up the reputation of a private citizen who has been harmed by gossip due to one's public role, Decent Morality would require one to provide the evidence so as to protect the reputation of the innocent private citizen.	2011-05-31T16:27:00
boedicca	NOBODY	per	pos-towards	1.8566666666666665	I doubt that NOBODY in his district cares.	2011-05-31T17:03:00
boedicca	you	per	pos-towards	2.043333333333333	Thank you for the demonstration!	2011-05-31T17:09:00
boedicca	God	per	pos-towards	1.405555555555556	So help me God."	2011-05-31T17:40:00
boedicca	VLWC	org	pos-towards	0.822222222222222	Which is neither Moral nor Ethical, something VLWC clearly doesn't grok.	2011-05-31T17:43:00
boedicca	Anthony Weiner Tweet-Taunts Clarence Thomas	per	pos-towards	1.2655555555555544	The victim whose life was disrupted by having to suicide her Facebook and Twitter accounts deserves to have this investigated as well.	2011-05-31T17:47:00
boedicca	Mahatma Gandhi	per	pos-towards	1.2655555555555544	Mahatma Gandhi, as you know, walked barefoot most of the time, which produced an impressive set of calluses on his feet.	2011-05-31T17:50:00
boedicca	You	per	pos-towards	0.9155555555555566	You don't GROK Heinlein either. <img src="http://www.usmessageboard.com/images/smilies/smile.gif"/>	2011-05-31T17:51:00
boedicca	Rep Anthony Weiner	per	pos-towards	0.9933333333333341	And all Breitbart has done is report facts, which haven't been contradicted by Weiner.	2011-05-31T18:00:00
boedicca	Rep Anthony Weiner	per	pos-towards	2.299999999999999	This is why Weiner has been playing Officer Barbrady.	2011-05-31T18:05:00
boedicca	Barbrady	per	pos-towards	2.299999999999999	This is why Weiner has been playing Officer Barbrady.	2011-05-31T18:05:00
boedicca	CNN	org	pos-towards	0.9466666666666663	When CNN starts questioning things....	2011-05-31T18:19:00
boedicca	she	per	pos-towards	1.2111111111111112	It will be a shock to the USMB community if she ever posts something worthwhile.	2011-05-31T18:20:00
boedicca	Embedded Display	per	pos-towards	1.8488888888888884	I did. He looks like a Creepy Weasel who is caught lying.	2011-05-31T18:25:00
boedicca	GOP	org	pos-towards	0.7522222222222226	Note the obligatory mentions of GOP scandals...which resulted in the resignations.	2011-05-31T18:36:00
boedicca	he	per	pos-towards	0.9155555555555566	And now he's clearly lost the narrative.	2011-05-31T18:39:00
boedicca	his	per	pos-towards	0.9622222222222225	The look on his face, the look on his wife's face, and the body language show that she doesn't believe him.	2011-05-31T18:40:00
boedicca	wife	per	pos-towards	0.9699999999999998	The look on his face, the look on his wife's face, and the body language show that she doesn't believe him.	2011-05-31T18:40:00
WillowTree	you	per	neg-towards	-1.666666666666667	you are so dishonest you downright stink	2011-05-29T14:23:00
WillowTree	you	per	neg-towards	-1.8455555555555558	Palin's computer was hacked you blamed her for being stupid..	2011-05-29T18:59:00
WillowTree	Sarah Palin	per	neg-towards	-1.8455555555555558	Palin's computer was hacked you blamed her for being stupid..	2011-05-29T18:59:00
WillowTree	kids	per	neg-towards	-2.3744444444444444	At least that's what I always stressed to my kids.	2011-05-31T19:26:00
C_Clayton_Jones	Rep Anthony Weiner	per	neg-towards	-1.9544444444444444	Well, by all means, let's presume him guilty until proven innocent.	2011-05-28T10:44:00
xsited1	Vince Foster	per	neg-towards	-1.5733333333333333	Hillary plays for both sides at times, fathered a child with Webster Hubbell and had an on-going affair with Vince Foster.	2011-05-28T11:07:00
xsited1	Hillary Aide	per	pos-towards	2.299999999999999	Hillary plays for both sides at times, fathered a child with Webster Hubbell and had an on-going affair with Vince Foster.	2011-05-28T11:07:00
xsited1	sides	org	pos-towards	2.299999999999999	Hillary plays for both sides at times, fathered a child with Webster Hubbell and had an on-going affair with Vince Foster.	2011-05-28T11:07:00
xsited1	Webster Hubbell	per	pos-towards	1.506666666666666	Hillary plays for both sides at times, fathered a child with Webster Hubbell and had an on-going affair with Vince Foster.	2011-05-28T11:07:00
Zander	Rep Anthony Weiner	per	neg-towards	-1.0522222222222224	Of course he'll deny, obfuscate, and lie to protect himself.....	2011-05-28T11:00:00
Zander	Rep Anthony Weiner	per	neg-towards	-0.7877777777777775	OH wait - he just issued a statement:	2011-05-28T11:00:00
Zander	He	per	neg-towards	-1.3166666666666664	He was impeached because he lied to the grand jury and to the entire country.	2011-05-29T15:35:00
Zander	he	per	neg-towards	-1.83	He was impeached because he lied to the grand jury and to the entire country.	2011-05-29T15:35:00
Zander	jury	per	neg-towards	-1.83	He was impeached because he lied to the grand jury and to the entire country.	2011-05-29T15:35:00
Zander	Indian	gpe	neg-towards	-0.71	He was impeached because he lied to the grand jury and to the entire country.	2011-05-29T15:35:00
Zander	He	per	neg-towards	-0.4299999999999997	He was confronted about his cheating ways and he did what comes natural to politicians, he reflexively, compulsively lied and then he kept on lying until he'd lied his way into an impeachment.	2011-05-29T15:35:00
Zander	his	per	neg-towards	-1.6277777777777782	He was confronted about his cheating ways and he did what comes natural to politicians, he reflexively, compulsively lied and then he kept on lying until he'd lied his way into an impeachment.	2011-05-29T15:35:00
Zander	he	per	neg-towards	-1.83	He was confronted about his cheating ways and he did what comes natural to politicians, he reflexively, compulsively lied and then he kept on lying until he'd lied his way into an impeachment.	2011-05-29T15:35:00
Zander	Weinergate	per	pos-towards	0.9233333333333338	Vienna-Sausagegate just doesn't have the same ring as Weinergate..... <img src="http://www.usmessageboard.com/images/smilies/lol.gif"/>	2011-05-28T11:27:00
